ip Source,ip Destination,Protocol,Epoch
10.12.15.101,10.12.15.1,UDP,"Dec 15, 2023 13:01:57.557837000"
10.12.15.1,10.12.15.101,UDP,"Dec 15, 2023 13:01:57.740658000"
10.12.15.101,68.66.226.89,TCP,"Dec 15, 2023 13:01:57.741204000"
68.66.226.89,10.12.15.101,TCP,"Dec 15, 2023 13:01:58.061769000"
10.12.15.101,68.66.226.89,TCP,"Dec 15, 2023 13:01:58.061948000"
10.12.15.101,68.66.226.89,TCP,"Dec 15, 2023 13:01:58.062241000"
68.66.226.89,10.12.15.101,TCP,"Dec 15, 2023 13:01:58.062364000"
68.66.226.89,10.12.15.101,TCP,"Dec 15, 2023 13:01:58.471505000"
10.12.15.101,68.66.226.89,TCP,"Dec 15, 2023 13:01:58.512574000"
10.12.15.101,68.66.226.89,TCP,"Dec 15, 2023 13:01:58.519477000"
68.66.226.89,10.12.15.101,TCP,"Dec 15, 2023 13:01:58.519636000"
68.66.226.89,10.12.15.101,TCP,"Dec 15, 2023 13:01:58.881582000"
10.12.15.101,68.66.226.89,TCP,"Dec 15, 2023 13:01:58.944567000"
10.12.15.101,68.66.226.89,TCP,"Dec 15, 2023 13:02:02.376870000"
68.66.226.89,10.12.15.101,TCP,"Dec 15, 2023 13:02:02.696457000"
10.12.15.101,68.66.226.89,TCP,"Dec 15, 2023 13:02:02.696757000"
10.12.15.101,68.66.226.89,TCP,"Dec 15, 2023 13:02:02.697268000"
68.66.226.89,10.12.15.101,TCP,"Dec 15, 2023 13:02:02.697441000"
68.66.226.89,10.12.15.101,TCP,"Dec 15, 2023 13:02:03.652986000"
68.66.226.89,10.12.15.101,TCP,"Dec 15, 2023 13:02:03.652990000"
68.66.226.89,10.12.15.101,TCP,"Dec 15, 2023 13:02:03.652991000"
10.12.15.101,68.66.226.89,TCP,"Dec 15, 2023 13:02:03.653206000"
68.66.226.89,10.12.15.101,TCP,"Dec 15, 2023 13:02:03.653554000"
68.66.226.89,10.12.15.101,TCP,"Dec 15, 2023 13:02:03.653558000"
68.66.226.89,10.12.15.101,TCP,"Dec 15, 2023 13:02:03.653617000"
68.66.226.89,10.12.15.101,TCP,"Dec 15, 2023 13:02:03.653690000"
68.66.226.89,10.12.15.101,TCP,"Dec 15, 2023 13:02:03.653694000"
68.66.226.89,10.12.15.101,TCP,"Dec 15, 2023 13:02:03.653709000"
68.66.226.89,10.12.15.101,TCP,"Dec 15, 2023 13:02:03.653712000"
10.12.15.101,68.66.226.89,TCP,"Dec 15, 2023 13:02:03.653973000"
68.66.226.89,10.12.15.101,TCP,"Dec 15, 2023 13:02:04.000240000"
68.66.226.89,10.12.15.101,TCP,"Dec 15, 2023 13:02:04.000245000"
68.66.226.89,10.12.15.101,TCP,"Dec 15, 2023 13:02:04.000246000"
68.66.226.89,10.12.15.101,TCP,"Dec 15, 2023 13:02:04.000248000"
68.66.226.89,10.12.15.101,TCP,"Dec 15, 2023 13:02:04.000276000"
68.66.226.89,10.12.15.101,TCP,"Dec 15, 2023 13:02:04.000358000"
68.66.226.89,10.12.15.101,TCP,"Dec 15, 2023 13:02:04.000362000"
68.66.226.89,10.12.15.101,TCP,"Dec 15, 2023 13:02:04.000475000"
68.66.226.89,10.12.15.101,TCP,"Dec 15, 2023 13:02:04.000499000"
68.66.226.89,10.12.15.101,TCP,"Dec 15, 2023 13:02:04.000543000"
68.66.226.89,10.12.15.101,TCP,"Dec 15, 2023 13:02:04.000546000"
68.66.226.89,10.12.15.101,TCP,"Dec 15, 2023 13:02:04.000640000"
68.66.226.89,10.12.15.101,TCP,"Dec 15, 2023 13:02:04.000643000"
68.66.226.89,10.12.15.101,TCP,"Dec 15, 2023 13:02:04.000645000"
68.66.226.89,10.12.15.101,TCP,"Dec 15, 2023 13:02:04.000765000"
68.66.226.89,10.12.15.101,TCP,"Dec 15, 2023 13:02:04.000840000"
68.66.226.89,10.12.15.101,TCP,"Dec 15, 2023 13:02:04.000843000"
68.66.226.89,10.12.15.101,TCP,"Dec 15, 2023 13:02:04.000849000"
68.66.226.89,10.12.15.101,TCP,"Dec 15, 2023 13:02:04.000852000"
68.66.226.89,10.12.15.101,TCP,"Dec 15, 2023 13:02:04.000896000"
10.12.15.101,68.66.226.89,TCP,"Dec 15, 2023 13:02:04.001331000"
68.66.226.89,10.12.15.101,TCP,"Dec 15, 2023 13:02:04.412849000"
68.66.226.89,10.12.15.101,TCP,"Dec 15, 2023 13:02:04.412860000"
68.66.226.89,10.12.15.101,TCP,"Dec 15, 2023 13:02:04.412863000"
68.66.226.89,10.12.15.101,TCP,"Dec 15, 2023 13:02:04.412890000"
68.66.226.89,10.12.15.101,TCP,"Dec 15, 2023 13:02:04.412893000"
68.66.226.89,10.12.15.101,TCP,"Dec 15, 2023 13:02:04.412980000"
68.66.226.89,10.12.15.101,TCP,"Dec 15, 2023 13:02:04.413235000"
68.66.226.89,10.12.15.101,TCP,"Dec 15, 2023 13:02:04.413242000"
68.66.226.89,10.12.15.101,TCP,"Dec 15, 2023 13:02:04.413465000"
68.66.226.89,10.12.15.101,TCP,"Dec 15, 2023 13:02:04.413470000"
68.66.226.89,10.12.15.101,TCP,"Dec 15, 2023 13:02:04.413472000"
68.66.226.89,10.12.15.101,TCP,"Dec 15, 2023 13:02:04.413509000"
68.66.226.89,10.12.15.101,TCP,"Dec 15, 2023 13:02:04.413610000"
68.66.226.89,10.12.15.101,TCP,"Dec 15, 2023 13:02:04.413615000"
68.66.226.89,10.12.15.101,TCP,"Dec 15, 2023 13:02:04.413738000"
68.66.226.89,10.12.15.101,TCP,"Dec 15, 2023 13:02:04.413861000"
68.66.226.89,10.12.15.101,TCP,"Dec 15, 2023 13:02:04.413868000"
68.66.226.89,10.12.15.101,TCP,"Dec 15, 2023 13:02:04.413870000"
68.66.226.89,10.12.15.101,TCP,"Dec 15, 2023 13:02:04.413872000"
68.66.226.89,10.12.15.101,TCP,"Dec 15, 2023 13:02:04.414037000"
68.66.226.89,10.12.15.101,TCP,"Dec 15, 2023 13:02:04.414044000"
68.66.226.89,10.12.15.101,TCP,"Dec 15, 2023 13:02:04.414046000"
68.66.226.89,10.12.15.101,TCP,"Dec 15, 2023 13:02:04.414207000"
68.66.226.89,10.12.15.101,TCP,"Dec 15, 2023 13:02:04.414245000"
68.66.226.89,10.12.15.101,TCP,"Dec 15, 2023 13:02:04.414407000"
68.66.226.89,10.12.15.101,TCP,"Dec 15, 2023 13:02:04.414457000"
68.66.226.89,10.12.15.101,TCP,"Dec 15, 2023 13:02:04.414465000"
68.66.226.89,10.12.15.101,TCP,"Dec 15, 2023 13:02:04.414468000"
68.66.226.89,10.12.15.101,TCP,"Dec 15, 2023 13:02:04.414470000"
68.66.226.89,10.12.15.101,TCP,"Dec 15, 2023 13:02:04.414531000"
68.66.226.89,10.12.15.101,TCP,"Dec 15, 2023 13:02:04.414641000"
